checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,telephone,foreign_worker,job
unknown,24,repaid,furniture,929,unknown,4 - 7 yrs,4,single male,none,2,other,31,stores,own,1,1,1,yes,yes,skilled employee
unknown,4,critical,car (new),1455,< 100 DM,4 - 7 yrs,2,single male,none,1,real estate,42,none,own,3,1,2,none,yes,unskilled resident
< 0 DM,15,repaid,furniture,1845,< 100 DM,0 - 1 yrs,4,female,guarantor,1,building society savings,46,none,rent,1,1,1,none,yes,skilled employee
1 - 200 DM,48,fully repaid,car (new),8358,501 - 1000 DM,0 - 1 yrs,1,female,none,1,other,30,none,own,2,1,1,none,yes,skilled employee
< 0 DM,24,fully repaid this bank,furniture,3349,501 - 1000 DM,0 - 1 yrs,4,single male,none,4,unknown/none,30,none,for free,1,2,2,yes,yes,skilled employee
unknown,12,repaid,car (new),2859,unknown,unemployed,4,single male,none,4,unknown/none,38,none,own,1,1,1,yes,yes,mangement self-employed
unknown,18,repaid,furniture,1533,< 100 DM,0 - 1 yrs,4,married male,co-applicant,1,building society savings,43,none,own,1,2,2,none,yes,unskilled resident
unknown,24,repaid,radio/tv,3621,101 - 500 DM,> 7 yrs,2,single male,none,4,other,31,none,own,2,2,1,none,yes,skilled employee
1 - 200 DM,18,critical,business,3590,< 100 DM,unemployed,3,married male,none,3,other,40,none,own,3,1,2,yes,yes,unemployed non-resident
< 0 DM,36,delayed,business,2145,< 100 DM,4 - 7 yrs,2,single male,none,1,other,24,none,own,2,2,1,yes,yes,skilled employee
1 - 200 DM,24,repaid,car (used),4113,501 - 1000 DM,0 - 1 yrs,3,female,none,4,other,28,none,rent,1,2,1,none,yes,skilled employee
unknown,36,repaid,furniture,10974,< 100 DM,unemployed,4,female,none,2,other,26,none,own,2,2,1,yes,yes,mangement self-employed
< 0 DM,12,repaid,car (new),1893,< 100 DM,1 - 4 yrs,4,female,guarantor,4,building society savings,29,none,own,1,1,1,yes,yes,skilled employee
< 0 DM,24,critical,radio/tv,1231,> 1000 DM,> 7 yrs,4,female,none,4,building society savings,57,none,rent,2,1,1,yes,yes,mangement self-employed
> 200 DM,30,critical,radio/tv,3656,unknown,> 7 yrs,4,single male,none,4,building society savings,49,stores,own,2,1,1,none,yes,unskilled resident
1 - 200 DM,9,critical,radio/tv,1154,< 100 DM,> 7 yrs,2,single male,none,4,real estate,37,none,own,3,1,1,none,yes,unskilled resident
< 0 DM,28,repaid,car (new),4006,< 100 DM,1 - 4 yrs,3,single male,none,2,other,45,none,own,1,2,1,none,yes,unskilled resident
1 - 200 DM,24,repaid,furniture,3069,101 - 500 DM,> 7 yrs,4,single male,none,4,unknown/none,30,none,for free,1,1,1,none,yes,skilled employee
unknown,6,critical,radio/tv,1740,< 100 DM,> 7 yrs,2,married male,none,2,real estate,30,none,rent,2,1,1,none,yes,skilled employee
1 - 200 DM,21,delayed,car (new),2353,< 100 DM,1 - 4 yrs,1,divorced male,none,4,building society savings,47,none,own,2,1,1,none,yes,skilled employee
unknown,15,repaid,car (new),3556,unknown,1 - 4 yrs,3,single male,none,2,unknown/none,29,none,own,1,1,1,none,yes,skilled employee
unknown,24,repaid,radio/tv,2397,501 - 1000 DM,> 7 yrs,3,single male,none,2,other,35,bank,own,2,2,1,yes,yes,skilled employee
1 - 200 DM,6,repaid,repairs,454,< 100 DM,0 - 1 yrs,3,married male,none,1,building society savings,22,none,own,1,1,1,none,yes,unskilled resident
1 - 200 DM,30,repaid,radio/tv,1715,unknown,1 - 4 yrs,4,female,none,1,other,26,none,own,1,1,1,none,yes,skilled employee
1 - 200 DM,27,critical,radio/tv,2520,501 - 1000 DM,1 - 4 yrs,4,single male,none,2,building society savings,23,none,own,2,2,1,none,yes,unskilled resident
unknown,15,repaid,radio/tv,3568,< 100 DM,> 7 yrs,4,female,none,2,other,54,bank,rent,1,1,1,yes,yes,mangement self-employed
unknown,42,repaid,radio/tv,7166,unknown,4 - 7 yrs,2,married male,none,4,building society savings,29,none,rent,1,1,1,yes,yes,skilled employee
< 0 DM,11,critical,car (new),3939,< 100 DM,1 - 4 yrs,1,single male,none,2,real estate,40,none,own,2,1,2,none,yes,unskilled resident
1 - 200 DM,15,repaid,repairs,1514,101 - 500 DM,1 - 4 yrs,4,single male,guarantor,2,real estate,22,none,own,1,1,1,none,yes,skilled employee
unknown,24,repaid,car (new),7393,< 100 DM,1 - 4 yrs,1,single male,none,4,building society savings,43,none,own,1,1,2,none,yes,unskilled resident
< 0 DM,24,fully repaid this bank,car (new),1193,< 100 DM,unemployed,1,female,co-applicant,4,unknown/none,29,none,rent,2,2,1,none,yes,unemployed non-resident
< 0 DM,60,repaid,business,7297,< 100 DM,> 7 yrs,4,single male,co-applicant,4,unknown/none,36,none,rent,1,2,1,none,yes,skilled employee
unknown,30,critical,radio/tv,2831,< 100 DM,1 - 4 yrs,4,female,none,2,other,33,none,own,1,1,1,yes,yes,skilled employee
> 200 DM,24,repaid,radio/tv,1258,501 - 1000 DM,1 - 4 yrs,3,female,none,3,other,57,none,own,1,1,1,none,yes,unskilled resident
1 - 200 DM,6,repaid,radio/tv,753,< 100 DM,1 - 4 yrs,2,female,guarantor,3,real estate,64,none,own,1,1,1,none,yes,skilled employee
1 - 200 DM,18,delayed,business,2427,unknown,> 7 yrs,4,single male,none,2,building society savings,42,none,own,2,1,1,none,yes,skilled employee
unknown,24,delayed,car (new),2538,< 100 DM,> 7 yrs,4,single male,none,4,other,47,none,own,2,2,2,none,yes,unskilled resident
1 - 200 DM,15,fully repaid this bank,car (new),1264,101 - 500 DM,1 - 4 yrs,2,married male,none,2,building society savings,25,none,rent,1,2,1,none,yes,skilled employee
1 - 200 DM,30,critical,furniture,8386,< 100 DM,4 - 7 yrs,2,single male,none,2,building society savings,49,none,own,1,2,1,none,yes,skilled employee
unknown,48,repaid,business,4844,< 100 DM,unemployed,3,single male,none,2,other,33,bank,rent,1,2,1,yes,yes,mangement self-employed
> 200 DM,21,repaid,car (new),2923,101 - 500 DM,1 - 4 yrs,1,female,none,1,other,28,bank,own,1,1,1,yes,yes,mangement self-employed
< 0 DM,36,repaid,car (used),8229,< 100 DM,1 - 4 yrs,2,single male,none,2,building society savings,26,none,own,1,2,2,none,yes,skilled employee
unknown,24,critical,furniture,2028,< 100 DM,4 - 7 yrs,2,single male,none,2,building society savings,30,none,own,2,1,1,none,yes,unskilled resident
< 0 DM,15,critical,furniture,1433,< 100 DM,1 - 4 yrs,4,female,none,3,building society savings,25,none,rent,2,1,1,none,yes,skilled employee
> 200 DM,42,fully repaid,business,6289,< 100 DM,0 - 1 yrs,2,divorced male,none,1,building society savings,33,none,own,2,1,1,none,yes,skilled employee
unknown,13,repaid,radio/tv,1409,101 - 500 DM,unemployed,2,female,none,4,real estate,64,none,own,1,1,1,none,yes,skilled employee
< 0 DM,24,repaid,car (used),6579,< 100 DM,unemployed,4,single male,none,2,unknown/none,29,none,for free,1,1,1,yes,yes,mangement self-employed
1 - 200 DM,24,critical,radio/tv,1743,< 100 DM,> 7 yrs,4,single male,none,2,building society savings,48,none,own,2,1,1,none,yes,unskilled resident
unknown,12,critical,education,3565,unknown,0 - 1 yrs,2,single male,none,1,building society savings,37,none,own,2,1,2,none,yes,unskilled resident
unknown,15,fully repaid this bank,radio/tv,1569,101 - 500 DM,> 7 yrs,4,single male,none,4,other,34,bank,own,1,1,2,none,yes,unskilled resident
< 0 DM,18,repaid,radio/tv,1936,unknown,4 - 7 yrs,2,married male,none,4,other,23,none,rent,2,1,1,none,yes,unskilled resident
< 0 DM,36,repaid,furniture,3959,< 100 DM,unemployed,4,single male,none,3,building society savings,30,none,own,1,1,1,yes,yes,mangement self-employed
unknown,12,repaid,car (new),2390,unknown,> 7 yrs,4,single male,none,3,other,50,none,own,1,1,1,yes,yes,skilled employee
unknown,12,repaid,furniture,1736,< 100 DM,4 - 7 yrs,3,female,none,4,real estate,31,none,own,1,1,1,none,yes,unskilled resident
< 0 DM,30,repaid,car (used),3857,< 100 DM,1 - 4 yrs,4,divorced male,none,4,building society savings,40,none,own,1,1,1,yes,yes,mangement self-employed
unknown,12,repaid,radio/tv,804,< 100 DM,> 7 yrs,4,single male,none,4,other,38,none,own,1,1,1,none,yes,skilled employee
< 0 DM,45,repaid,radio/tv,1845,< 100 DM,1 - 4 yrs,4,single male,none,4,unknown/none,23,none,for free,1,2,1,yes,yes,skilled employee
1 - 200 DM,45,critical,car (used),4576,101 - 500 DM,unemployed,3,single male,none,4,other,27,none,own,1,1,1,none,yes,skilled employee
